p1,p1_units,d1_sample_idx,d1,p2,p2_units,mean_cost,std_cost,cv_pct,min_cost,max_cost,median_cost,q25_cost,q75_cost
6,300,48,124.33004069130392,7,350,43458.773210394924,3276.363982786041,7.539016269337226,35605.46779788795,51073.84563817676,44034.04725528855,41047.55425450282,45847.89602996154
6,300,48,124.33004069130392,8,400,46659.943480986294,2930.102472906681,6.279695718235673,39055.46779788795,52923.84563817676,47455.33297386622,44265.394931363495,48758.19889899218
6,300,48,124.33004069130392,9,450,49648.803730136584,2473.472187739296,4.981937130215104,43630.46779788795,55873.84563817676,50033.79853835233,48046.215893925626,51196.88033705368
6,300,48,124.33004069130392,10,500,52178.01925212398,2427.855586586022,4.653023670474407,45678.62986072368,58273.84563817676,52339.480462051826,50568.75866571308,53659.792298276814
6,300,49,100.39941706407706,1,50,25176.671267410995,3137.451829666102,12.461742048192288,18981.15088867327,35883.854260342414,25347.361684821753,23164.55577769707,26686.995969435942
6,300,49,100.39941706407706,2,100,28319.888868226953,3466.183729194658,12.239397355416488,18873.49922716689,39333.854260342414,28465.544520289233,26196.35894635939,29967.21002113677
6,300,49,100.39941706407706,3,150,31642.158497698183,3454.1149481428592,10.916179907240304,21870.88857809451,43300.98254699924,31792.335685249447,29608.17836517865,33325.20677780177
6,300,49,100.39941706407706,4,200,35327.96287028885,3577.469533411662,10.126452936295252,25213.19120591337,46233.854260342414,35351.11807492738,33457.46155146502,36886.101068368895
6,300,49,100.39941706407706,5,250,38806.154977453334,3650.0210021644457,9.405778553131933,28663.19120591337,48633.854260342414,38927.10783032965,36907.46155146502,40799.98095750346
6,300,49,100.39941706407706,6,300,42308.0883019966,3407.1526468179177,8.053194515662216,32113.191205913372,51033.854260342414,42377.10783032965,40429.739445604304,44081.93921480727
6,300,49,100.39941706407706,7,350,45531.23714929037,3302.2699158653068,7.252756838206788,34438.19120591337,53433.854260342414,45892.276840150495,43837.51599234146,47439.519799366266
6,300,49,100.39941706407706,8,400,48310.990203491434,3054.2575515586345,6.322076071497916,37888.19120591337,55833.854260342414,48693.04255106834,46269.350582645464,49786.818880602455
6,300,49,100.39941706407706,9,450,50840.315145888824,2688.6728838068857,5.288466202641751,42463.19120591337,58233.854260342414,51054.020835696734,49123.85599812444,52220.517082171835
6,300,49,100.39941706407706,10,500,53375.36502046068,2469.1198355739957,4.625954004487827,45913.19120591337,60633.854260342414,53599.3159016549,51600.9127727603,54592.25486460354
6,300,50,59.84098084413811,1,50,28020.723733452392,3959.1431869741505,14.129339501133401,15877.99330380901,39029.38191309165,27599.428538480235,25443.72042230641,30374.1122827319
6,300,50,59.84098084413811,2,100,31357.08754922796,3968.2525462647704,12.655041830766175,17532.81838501576,42479.38191309165,30967.38883683252,29225.420367610495,33808.80744867671
6,300,50,59.84098084413811,3,150,34720.592226599634,4061.0014611828046,11.696233274706787,20707.81838501576,45929.38191309165,34347.5867249542,32515.24163146877,37202.29557041799
6,300,50,59.84098084413811,4,200,38193.566560489715,3990.0763344260176,10.446985431713129,23623.02084884025,48329.38191309165,37857.577904650156,35965.24163146877,40708.80744867671
6,300,50,59.84098084413811,5,250,41468.808867563785,3791.1276355077125,9.14211847177764,26798.02084884025,50729.38191309165,41538.473924851,38971.246524293674,44177.786001102926
6,300,50,59.84098084413811,6,300,44468.91469686033,3645.632061615754,8.198158391019039,30019.163870738495,53129.38191309165,44740.03571678494,42088.38760740626,47536.26509394762
6,300,50,59.84098084413811,7,350,47404.52142351111,3350.505959387555,7.06790377536817,33469.16387073849,55529.38191309165,48098.77684732561,45677.78832779384,49876.81998552229
6,300,50,59.84098084413811,8,400,50238.736846408174,3000.124357008301,5.971735249197046,36919.16387073849,57929.38191309165,50530.23047878884,48665.861126367985,52276.81998552229
6,300,50,59.84098084413811,9,450,52686.046236044494,2795.959331870488,5.306830805530568,40369.16387073849,60329.38191309165,52907.46266153647,51073.45523492965,54736.26509394762
6,300,50,59.84098084413811,10,500,55145.77044735055,2447.838044221159,4.438850023064216,46277.02722923013,61322.446300994314,55351.145284494174,53577.64364229655,57076.81998552229
6,300,51,73.37140001941283,1,50,27322.382858083263,3309.880026837551,12.114170436852403,20599.18955057322,37210.85358404992,26772.395381557857,25005.970074585675,29421.804954819912
6,300,51,73.37140001941283,2,100,30465.871040162794,3467.086528028,11.380231090249746,24324.18955057322,40660.85358404992,29959.797485190953,28051.078388156136,32789.38142679636
6,300,51,73.37140001941283,3,150,33726.67309836526,3533.699869577643,10.47746351758876,24058.781492519985,44110.85358404992,33409.79748519095,31413.102039247235,36303.092200881394
6,300,51,73.37140001941283,4,200,36990.120105505885,3395.232698544704,9.178755540291778,27233.781492519985,47035.85358404992,36831.2912802615,34570.57915585648,39547.22623826358
6,300,51,73.37140001941283,5,250,40142.91001023103,3398.4357856217644,8.465843120878933,30497.8427109166,49435.85358404992,40051.567369622295,37831.79817262698,42971.83841178774
6,300,51,73.37140001941283,6,300,43555.45513981068,3301.1750400435944,7.5792458819383235,33947.8427109166,51835.85358404992,43213.22193606338,41281.79817262698,46513.21794736882
6,300,51,73.37140001941283,7,350,46777.395740481166,2969.071638265439,6.347235863103007,37397.84271091659,54235.85358404992,47064.40385975751,44750.74512720659,49054.570790937796
6,300,51,73.37140001941283,8,400,49521.433150936515,2587.8132463794004,5.22564288172355,40847.84271091659,55650.645747970135,49502.625198021036,48206.31307144037,51451.41407070658
6,300,51,73.37140001941283,9,450,51974.618112854216,2426.352056567462,4.668340325847211,44297.84271091659,58050.645747970135,51902.625198021036,50436.80258410677,53849.581808423245
6,300,51,73.37140001941283,10,500,54524.88054371835,2477.437478473899,4.543682542298238,47747.84271091659,60450.645747970135,54351.80126756019,52875.828400485,56303.65310934024
6,300,52,91.77783129603603,1,50,25520.012191702168,3513.042251601686,13.765832967524801,16886.41152261344,32339.740739620684,25694.003481283937,22624.54954651126,28345.11885586195
6,300,52,91.77783129603603,2,100,28719.989770482083,3541.3647775044105,12.330661695235577,20173.854637994435,35362.91651849248,28800.60103493969,25887.96032215088,31631.225114287812
